_class,_id,avatar,bio,birthdate,createdAt,first_name,friends,groups,interests,last_name,mail,pages,password,requests_friends,role,username
fr.univartois.butinfo.sae5.the_social_media.entity.User,644d2bbea632396092a04d8d82440e89,http://lorempixel.com/1920/1200/city/,In est et molestiae.,1976-12-22 00:50:57.910000,2024-09-20 03:37:12.371000,Jonelle,[],[],"['technology', 'travel']",Koelpin,kyle.nader@yahoo.com,[],m0xuxan45x,,User,santiago.shanahan
fr.univartois.butinfo.sae5.the_social_media.entity.User,ab42a32d356ccd3dff84b1dabd3ba9a6,http://lorempixel.com/g/1366/768/abstract/,Dolor qui non incidunt velit sit.,1991-09-27 21:44:19.143000,2024-03-12 03:31:55.146000,Isaias,[],[],"['technology', 'travel']",Runolfsson,vernon.upton@yahoo.com,[],i0f5wil1,,User,elnora.kihn
fr.univartois.butinfo.sae5.the_social_media.entity.User,af40ab498cffc6ba7e91ef8e60e065b3,http://lorempixel.com/640/200/animals/,Laborum numquam assumenda vitae id.,1983-03-10 12:59:34.141000,2024-09-23 04:32:19.055000,Laurence,[],[],"['technology', 'travel']",Schroeder,marilynn.quitzon@yahoo.com,[],1pr3ojty,,User,shon.senger
fr.univartois.butinfo.sae5.the_social_media.entity.User,7741b1c1c4d10227c9dfb610f52805bf,http://lorempixel.com/g/320/200/business/,Qui aut natus voluptatum et sed officia.,1965-03-07 06:35:40.360000,2024-02-16 20:30:14.225000,Carry,[],[],"['technology', 'travel']",Bartell,kent.jerde@gmail.com,[],enpz5xqign,,User,arnoldo.von
fr.univartois.butinfo.sae5.the_social_media.entity.User,4040e69b50f75a7a224664f628e8699a,http://lorempixel.com/g/1280/1024/animals/,Enim eum ut dolor harum qui.,2003-02-05 12:15:18.266000,2024-09-10 07:25:44.921000,Norberto,[],[],"['technology', 'travel']",Kulas,ambrose.ritchie@yahoo.com,[],u7qjx1ltamjln1,,User,phillip.emard
fr.univartois.butinfo.sae5.the_social_media.entity.User,fd476733004cc044ea0a195c39e793a7,http://lorempixel.com/g/1920/1200/fashion/,Deleniti mollitia sunt sint at.,2001-06-05 09:37:53.670000,2024-01-16 05:51:08.119000,Lyman,[],[],"['technology', 'travel']",Grimes,esther.halvorson@gmail.com,[],r3usl8ci9,,User,kelley.fay
fr.univartois.butinfo.sae5.the_social_media.entity.User,704ddcc3c03e008626787f829e05a5ab,http://lorempixel.com/g/1366/768/sports/,Sed voluptate rerum odit voluptas quibusdam.,1984-07-23 21:48:37.092000,2024-08-01 14:51:21.228000,Santana,[],[],"['technology', 'travel']",Smith,fletcher.welch@gmail.com,[],7tmhosakn2,,User,ethan.lebsack
fr.univartois.butinfo.sae5.the_social_media.entity.User,ea433137f9d01dbbec7a4293d80710aa,http://lorempixel.com/320/200/city/,Tenetur qui rerum omnis aut totam.,2005-11-21 15:59:52.992000,2024-04-03 07:22:53.578000,Jason,[],[],"['technology', 'travel']",Schinner,donovan.kassulke@gmail.com,[],73r0aluhbcqkpww,,User,rene.gleichner
fr.univartois.butinfo.sae5.the_social_media.entity.User,e240970cfcea1ec8c47eaa44f56791b9,http://lorempixel.com/g/1366/768/abstract/,Repellat inventore dolor facilis quam.,2001-02-01 11:18:32.479000,2023-12-22 04:31:34.368000,Chas,[],[],"['technology', 'travel']",Bauch,ethel.simonis@hotmail.com,[],tdaxv64337tg4,,User,elinor.spencer
fr.univartois.butinfo.sae5.the_social_media.entity.User,ff4460b4fe33661d1a421b34a0021a95,http://lorempixel.com/640/200/nature/,Consequatur id sed numquam hic.,1996-11-16 21:34:09.502000,2024-03-30 03:43:22.917000,Chara,[],[],"['technology', 'travel']",Kunde,terrell.bahringer@gmail.com,[],uitkatmezh,,User,lemuel.conn
fr.univartois.butinfo.sae5.the_social_media.entity.User,1f4baaca6a22a8e43e0395e0f8a2e483,http://lorempixel.com/g/720/348/animals/,Repellendus nisi eos deleniti sunt similique architecto dolor.,1984-11-19 22:10:39.859000,2024-01-09 11:47:59.700000,Zonia,[],[],"['technology', 'travel']",Dare,moon.buckridge@yahoo.com,[],6r9duhed6v7,[],User,winston.hahn
fr.univartois.butinfo.sae5.the_social_media.entity.User,8c44e61ad79ad57e5ff04452561eb4b8,http://lorempixel.com/640/480/abstract/,Quasi est et optio.,2003-02-21 10:38:12.159000,2024-11-03 22:03:10.687000,Cruz,[],[],"['technology', 'travel']",Stracke,eugenia.prosacco@hotmail.com,[],rct5aako9ci,[],User,dee.gerhold
fr.univartois.butinfo.sae5.the_social_media.entity.User,12465c030d6c5d7bcf96f0e8d8568786,http://lorempixel.com/720/348/city/,Quis perferendis hic omnis assumenda qui inventore.,1999-04-07 00:29:54.389000,2024-04-30 12:53:42.904000,Carita,[],[],"['technology', 'travel']",Rogahn,grover.effertz@hotmail.com,[],cteaqa1i1l4ikz,[],User,gilma.ruecker
fr.univartois.butinfo.sae5.the_social_media.entity.User,b345f575a1e6fd8f709262a8136fcb87,http://lorempixel.com/g/720/348/nightlife/,Placeat recusandae eos veniam et.,1992-09-10 18:02:06.386000,2024-04-26 14:58:29.041000,Susannah,[],[],"['technology', 'travel']",Howe,keven.ritchie@hotmail.com,[],0cijk8152,[],User,patrick.braun
